   ii      jj      C      sig
  0     0     -0.059295     0.007704      48
  0     1     0.005577     0.000200      48
  0     2     0.001608     0.000159      48
  0     3     -0.000576     0.000174      48
  0     4     0.000009     0.000126      48
  0     5     0.000913     0.000200      48
  1     0     0.011961     0.000217      48
  1     1     0.002874     0.000150      48
  1     2     0.000418     0.000151      48
  1     3     0.000378     0.000133      48
  1     4     -0.000135     0.000123      48
  1     5     -0.000036     0.000120      48
  2     0     0.001199     0.000164      48
  2     1     0.000815     0.000135      48
  2     2     0.000357     0.000152      48
  2     3     0.000331     0.000146      48
  2     4     -0.000122     0.000149      48
  2     5     -0.000009     0.000124      48
  3     0     0.000022     0.000133      48
  3     1     0.000272     0.000130      48
  3     2     0.000035     0.000126      48
  3     3     0.000126     0.000140      48
  3     4     0.000012     0.000121      48
  3     5     0.000211     0.000119      48
  4     0     -0.000185     0.000207      48
  4     1     -0.000146     0.000119      48
  4     2     0.000086     0.000124      48
  4     3     -0.000037     0.000111      48
  4     4     -0.000148     0.000118      48
  4     5     -0.000102     0.000103      48
  5     0     -0.000390     0.000189      48
  5     1     0.000023     0.000122      48
  5     2     -0.000092     0.000107      48
  5     3     -0.000071     0.000117      48
  5     4     -0.000197     0.000113      48
  5     5     -0.000088     0.000128      48
Slope = -1.613
C10 = 0.0055772
C01 = 0.011961
