             QFe      Ne
       6          220046
   6.125          211280
    6.25          203077
   6.375          195068
     6.5          187180
   6.625          179417
    6.75          171799
   6.875          164354
       7          157262
   7.125          149101
    7.25          141628
   7.375          134654
     7.5          127997
   7.625          121686
    7.75          115590
   7.875          109619
       8          103777
   8.125         98235.9
    8.25         92428.9
   8.375         86474.9
     8.5         80900.9
   8.625           75543
    8.75           70402
   8.875         65469.4
       9         60756.8
   9.125         56282.1
    9.25         52090.8
   9.375         47834.3
     9.5         43473.5
   9.625           39380
    9.75         35466.4
   9.875         31778.7
      10         28330.6
  10.125         25044.1
   10.25         21909.8
  10.375         18974.3
    10.5         16125.4
  10.625         13417.4
   10.75         11036.4
  10.875         8846.25
      11         6832.56
  11.125         5064.58
   11.25         3533.87
  11.375         2225.48
    11.5         1201.03
  11.625         448.392
   11.75         41.7281
  11.875       0.0285262
      12     7.82463e-06
  12.125     2.17677e-09
   12.25     6.10686e-13
  12.375     1.72876e-16
    12.5     4.98863e-20
  12.625     1.12256e-23
   12.75               0
  12.875               0
      13               0
  13.125               0
   13.25               0
  13.375               0
    13.5               0
  13.625               0
   13.75               0
  13.875               0
      14               0
  14.125               0
   14.25               0
  14.375               0
    14.5               0
  14.625               0
   14.75               0
  14.875               0
      15               0
  15.125               0
   15.25               0
  15.375               0
    15.5               0
  15.625               0
   15.75               0
  15.875               0
      16               0
