             QFe      Ne
       6          220765
   6.125          211995
    6.25          203829
   6.375          195844
     6.5          187970
   6.625          180213
    6.75          172594
   6.875          165137
       7          158053
   7.125          149592
    7.25          142117
   7.375          135179
     7.5          128543
   7.625          122246
    7.75          116162
   7.875          110197
       8          104344
   8.125         98807.7
    8.25         93047.9
   8.375         87088.5
     8.5         81542.6
   8.625           76199
    8.75         71063.7
   8.875         66138.8
       9         61426.2
   9.125         56942.9
    9.25         52754.1
   9.375         48548.9
     9.5           44181
   9.625         40107.2
    9.75           36198
   9.875         32501.4
      10         29043.6
  10.125         25756.3
   10.25         22610.8
  10.375           19673
    10.5         16839.8
  10.625         14087.3
   10.75         11692.6
  10.875         9490.82
      11         7452.45
  11.125         5630.83
   11.25         4057.94
  11.375         2686.97
    11.5         1581.19
  11.625         740.988
   11.75         174.913
  11.875         2.02286
      12     0.000761763
  12.125     2.61839e-07
   12.25     8.95288e-11
  12.375     3.05463e-14
    12.5     1.04297e-17
  12.625     3.94399e-21
   12.75     1.71207e-22
  12.875     1.30485e-22
      13     1.03848e-22
  13.125     7.24118e-23
   13.25      5.0109e-23
  13.375     4.61454e-23
    13.5     3.97639e-23
  13.625     3.55006e-23
   13.75     2.78003e-23
  13.875     2.31252e-23
      14     2.74304e-23
  14.125     2.81644e-23
   14.25      1.2973e-23
  14.375     2.23757e-23
    14.5     1.91315e-23
  14.625      1.6306e-23
   14.75     1.43513e-23
  14.875       9.089e-24
      15     8.29198e-24
  15.125     4.24476e-24
   15.25     6.79997e-25
  15.375               0
    15.5               0
  15.625               0
   15.75               0
  15.875               0
      16               0
