Nx             Ny             Area           
0              0              100.0045       
0              1              100.0061       
0              2              100.0069       
0              3              100.0090       
0              4              100.0105       
0              5              100.0099       
0              6              100.0081       
0              7              100.0060       
0              8              100.0042       
1              0              100.0010       
1              1              100.0093       
1              2              100.0146       
1              3              100.0210       
1              4              100.0245       
1              5              100.0208       
1              6              100.0150       
1              7              100.0091       
1              8              100.0061       
2              0              100.0079       
2              1              100.0150       
2              2              100.0264       
2              3              100.0563       
2              4              100.0790       
2              5              100.0590       
2              6              100.0292       
2              7              100.0144       
2              8              100.0071       
3              0              100.0102       
3              1              100.0202       
3              2              100.0630       
3              3              100.2578       
3              4              100.5521       
3              5              100.2727       
3              6              100.0654       
3              7              100.0222       
3              8              100.0094       
4              0              100.0104       
4              1              100.0258       
4              2              100.0924       
4              3              101.2054       
4              4              92.9489        
4              5              101.1522       
4              6              100.0978       
4              7              100.0266       
4              8              100.0101       
5              0              100.0103       
5              1              100.0217       
5              2              100.0621       
5              3              100.2683       
5              4              100.5758       
5              5              100.2698       
5              6              100.0610       
5              7              100.0198       
5              8              100.0060       
6              0              100.0077       
6              1              100.0140       
6              2              100.0296       
6              3              100.0569       
6              4              100.0768       
6              5              100.0575       
6              6              100.0300       
6              7              100.0151       
6              8              100.0083       
7              0              100.0059       
7              1              100.0089       
7              2              100.0144       
7              3              100.0206       
7              4              100.0237       
7              5              100.0207       
7              6              100.0144       
7              7              100.0093       
7              8              100.0060       
8              0              100.0042       
8              1              100.0056       
8              2              100.0078       
8              3              100.0104       
8              4              100.0099       
8              5              100.0101       
8              6              100.0079       
8              7              100.0060       
8              8              100.0044       
