X0             Y0             Theta          X              Y              
35.0000        35.0000        3.1641         29.9897        34.8873        
35.0000        35.0000        3.2116         29.9897        34.6486        
35.0000        35.0000        3.2592         29.9897        34.4083        
35.0000        35.0000        3.3067         29.9897        34.1652        
35.0000        35.0000        3.3542         29.9896        33.9182        
35.0000        35.0000        3.4018         29.9896        33.6662        
35.0000        35.0000        3.4493         29.9895        33.4076        
35.0000        35.0000        3.4968         29.9895        33.1411        
35.0000        35.0000        3.5444         29.9894        32.8650        
35.0000        35.0000        3.5919         29.9892        32.5775        
35.0000        35.0000        3.6395         29.9892        32.2764        
35.0000        35.0000        3.6870         29.9890        31.9593        
35.0000        35.0000        3.7345         29.9889        31.6233        
35.0000        35.0000        3.7821         29.9887        31.2651        
35.0000        35.0000        3.8296         29.9886        30.8805        
35.0000        35.0000        3.8772         29.9885        30.4646        
35.0000        35.0000        3.9247         29.9891        30.0130        
35.0000        35.0000        3.9724         30.4416        30.0078        
35.0000        35.0000        4.0200         30.8596        30.0072        
35.0000        35.0000        4.0677         31.2461        30.0069        
35.0000        35.0000        4.1154         31.6059        30.0067        
35.0000        35.0000        4.1631         31.9432        30.0066        
35.0000        35.0000        4.2107         32.2614        30.0065        
35.0000        35.0000        4.2584         32.5634        30.0064        
35.0000        35.0000        4.3061         32.8516        30.0064        
35.0000        35.0000        4.3538         33.1283        30.0065        
35.0000        35.0000        4.4014         33.3952        30.0063        
35.0000        35.0000        4.4491         33.6541        30.0064        
35.0000        35.0000        4.4968         33.9064        30.0063        
35.0000        35.0000        4.5445         34.1535        30.0064        
35.0000        35.0000        4.5922         34.3967        30.0064        
35.0000        35.0000        4.6398         34.6370        30.0063        
35.0000        35.0000        4.6875         34.8757        30.0064        
35.0000        35.0000        4.7352         35.1138        30.0063        
35.0000        35.0000        4.7829         35.3525        30.0063        
35.0000        35.0000        4.8305         35.5927        30.0064        
35.0000        35.0000        4.8782         35.8357        30.0064        
35.0000        35.0000        4.9259         36.0826        30.0064        
35.0000        35.0000        4.9736         36.3346        30.0065        
35.0000        35.0000        5.0212         36.5932        30.0064        
35.0000        35.0000        5.0689         36.8597        30.0065        
35.0000        35.0000        5.1166         37.1359        30.0066        
35.0000        35.0000        5.1643         37.4235        30.0067        
