             QFe           Ne(0)           Ne(1)           Ne(2)           Ne(3)
               9          210566          298036          361150          744324
           9.125          197904          281319          350554          728639
            9.25          186274          266068          340522          718074
           9.375          175004          252855          330568          708234
             9.5          163987          240597          320642          698740
           9.625          153265          228590          310735          689510
            9.75          142876          216779          300851          680517
           9.875          132896          205346          291028          672111
              10          123403          194298          281635          668121
          10.125          113395          182366          270294          623138
           10.25          104189          171065          259749          607437
          10.375         95754.9          160160          249799          597496
            10.5         87986.4          149595          239948          588360
          10.625           80495          139623          230140          579496
           10.75         73187.1          130232          220370          570812
          10.875         66121.4          121420          210655          562386
              11         59312.8          113053          201058          554692
          11.125         52907.7          105059          191996          551874
           11.25         46731.9         97019.4          182513          542697
          11.375         40943.9         89119.4          172720          529234
            11.5         35586.3         81475.9          163569          520357
          11.625         30552.2         74069.8          154819          512174
           11.75         25809.6         67180.4          146591          504227
          11.875         21428.5         60936.9          139194          496425
              12         17470.2         54943.1          132263          488802
          12.125         13844.9         49166.6          125627          481732
           12.25         10622.5         43735.9          119478          478567
          12.375         7758.54         38601.9          113066          470486
            12.5         5259.09         33526.1          106336          457550
          12.625         3218.01         28593.5          100025          448666
           12.75          1652.7         23877.7         94333.9          440430
          12.875         574.144         19630.2         89386.3          432439
              13         49.7599         15891.6         84638.9          424638
          13.125       0.0387286         12728.7         79912.8          417195
           13.25               0         9823.25         75219.1          410449
          13.375               0         7163.26         70666.4          406765
            13.5               0          4796.9           65963          399398
          13.625               0         2815.39         61059.6          388054
           13.75               0         1451.25         56312.8          379857
          13.875               0         509.311         51608.4          372162
              14               0         27.9906         46939.6          364652
          14.125               0       0.0118239         42334.1          357262
           14.25               0               0         37958.5          350029
          14.375               0               0         34218.9          343198
            14.5               0               0         30666.2          338894
          14.625               0               0         27101.9          331608
           14.75               0               0         23631.8          320909
          14.875               0               0         20579.4          312831
              15               0               0         17578.6          305175
          15.125               0               0           14607          297677
           15.25               0               0         11684.2          290282
          15.375               0               0         8869.13          283018
            15.5               0               0         6492.74          276080
          15.625               0               0         4741.97          271149
           15.75               0               0         3423.23          263912
          15.875               0               0         2284.19          253881
              16               0               0         1268.58          245947
          16.125               0               0         562.883          238362
           16.25               0               0          195.88          230917
          16.375               0               0         2.55809          223570
            16.5               0               0     0.000741584          216339
          16.625               0               0               0          209362
           16.75               0               0               0          203823
          16.875               0               0               0          196736
              17               0               0               0          187550
          17.125               0               0               0          179856
           17.25               0               0               0          172409
          17.375               0               0               0          165062
            17.5               0               0               0          157783
          17.625               0               0               0          150584
           17.75               0               0               0          143556
          17.875               0               0               0          137473
              18               0               0               0          131380
          18.125               0               0               0          122836
           18.25               0               0               0          115215
          18.375               0               0               0          107762
            18.5               0               0               0          100390
          18.625               0               0               0           93083
           18.75               0               0               0         85853.7
          18.875               0               0               0         78768.8
              19               0               0               0           72263
