# IsPeriodic    : True
# Period        : 0.471223 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.200 -1.016 -0.811 -0.665 -0.552 -0.552
0.000942446 0.200 -1.014 -0.811 -0.665 -0.552 -0.552
0.00188489 0.200 -1.013 -0.810 -0.664 -0.551 -0.551
0.00282734 0.202 -1.010 -0.809 -0.663 -0.551 -0.551
0.00376978 0.203 -1.007 -0.805 -0.661 -0.550 -0.550
0.00471223 0.206 -1.002 -0.802 -0.659 -0.550 -0.550
0.00565468 0.208 -0.996 -0.799 -0.655 -0.549 -0.549
0.00659712 0.211 -0.989 -0.794 -0.652 -0.547 -0.547
0.00753957 0.214 -0.981 -0.790 -0.648 -0.546 -0.546
0.00848201 0.218 -0.974 -0.786 -0.644 -0.545 -0.545
0.00942446 0.223 -0.967 -0.781 -0.640 -0.543 -0.543
0.0103669 0.226 -0.959 -0.776 -0.636 -0.541 -0.541
0.0113094 0.231 -0.950 -0.770 -0.631 -0.539 -0.539
0.0122518 0.237 -0.943 -0.766 -0.627 -0.537 -0.537
0.0131942 0.241 -0.934 -0.760 -0.623 -0.535 -0.535
0.0141367 0.246 -0.926 -0.756 -0.619 -0.532 -0.532
0.0150791 0.252 -0.919 -0.750 -0.615 -0.529 -0.529
0.0160216 0.258 -0.911 -0.746 -0.611 -0.526 -0.526
0.016964 0.264 -0.904 -0.741 -0.608 -0.523 -0.523
0.0179065 0.270 -0.896 -0.736 -0.604 -0.520 -0.520
0.0188489 0.276 -0.889 -0.732 -0.600 -0.516 -0.516
0.0197914 0.284 -0.881 -0.726 -0.596 -0.512 -0.512
0.0207338 0.291 -0.874 -0.722 -0.592 -0.508 -0.508
0.0216763 0.299 -0.866 -0.716 -0.588 -0.504 -0.504
0.0226187 0.306 -0.859 -0.711 -0.584 -0.500 -0.500
0.0235612 0.314 -0.850 -0.705 -0.580 -0.496 -0.496
0.0245036 0.323 -0.842 -0.700 -0.576 -0.492 -0.492
0.025446 0.332 -0.833 -0.694 -0.571 -0.487 -0.487
0.0263885 0.341 -0.824 -0.688 -0.567 -0.482 -0.482
0.0273309 0.350 -0.817 -0.682 -0.563 -0.477 -0.477
0.0282734 0.359 -0.808 -0.677 -0.559 -0.473 -0.473
0.0292158 0.370 -0.799 -0.670 -0.554 -0.468 -0.468
0.0301583 0.381 -0.790 -0.665 -0.549 -0.464 -0.464
0.0311007 0.390 -0.781 -0.658 -0.545 -0.459 -0.459
0.0320432 0.402 -0.772 -0.652 -0.541 -0.455 -0.455
0.0329856 0.412 -0.763 -0.645 -0.536 -0.451 -0.451
0.0339281 0.423 -0.754 -0.640 -0.532 -0.448 -0.448
0.0348705 0.435 -0.745 -0.633 -0.527 -0.443 -0.443
0.0358129 0.446 -0.736 -0.626 -0.522 -0.439 -0.439
0.0367554 0.458 -0.727 -0.620 -0.518 -0.436 -0.436
0.0376978 0.468 -0.718 -0.614 -0.514 -0.433 -0.433
0.0386403 0.480 -0.709 -0.608 -0.510 -0.428 -0.428
0.0395827 0.491 -0.700 -0.601 -0.505 -0.425 -0.425
0.0405252 0.502 -0.691 -0.595 -0.500 -0.422 -0.422
0.0414676 0.512 -0.682 -0.589 -0.496 -0.419 -0.419
0.0424101 0.523 -0.673 -0.583 -0.492 -0.415 -0.415
0.0433525 0.533 -0.664 -0.576 -0.487 -0.413 -0.413
0.044295 0.544 -0.657 -0.570 -0.483 -0.409 -0.409
0.0452374 0.553 -0.648 -0.564 -0.478 -0.406 -0.406
0.0461799 0.564 -0.639 -0.558 -0.474 -0.404 -0.404
0.0471223 0.573 -0.630 -0.552 -0.470 -0.400 -0.400
0.0480647 0.582 -0.622 -0.546 -0.466 -0.398 -0.398
0.0490072 0.591 -0.613 -0.540 -0.461 -0.395 -0.395
0.0499496 0.600 -0.604 -0.534 -0.457 -0.393 -0.393
0.0508921 0.609 -0.597 -0.529 -0.454 -0.390 -0.390
0.0518345 0.618 -0.589 -0.523 -0.450 -0.388 -0.388
0.052777 0.627 -0.580 -0.518 -0.445 -0.386 -0.386
0.0537194 0.635 -0.573 -0.512 -0.442 -0.384 -0.384
0.0546619 0.644 -0.565 -0.507 -0.438 -0.382 -0.382
0.0556043 0.652 -0.558 -0.501 -0.434 -0.380 -0.380
0.0565468 0.661 -0.551 -0.496 -0.430 -0.379 -0.379
0.0574892 0.668 -0.543 -0.491 -0.427 -0.376 -0.376
0.0584317 0.676 -0.536 -0.486 -0.423 -0.375 -0.375
0.0593741 0.683 -0.528 -0.480 -0.419 -0.373 -0.373
0.0603165 0.691 -0.521 -0.476 -0.416 -0.371 -0.371
0.061259 0.699 -0.513 -0.471 -0.412 -0.370 -0.370
0.0622014 0.705 -0.506 -0.466 -0.409 -0.368 -0.368
0.0631439 0.712 -0.500 -0.462 -0.406 -0.366 -0.366
0.0640863 0.718 -0.492 -0.456 -0.402 -0.365 -0.365
0.0650288 0.726 -0.485 -0.452 -0.399 -0.363 -0.363
0.0659712 0.732 -0.479 -0.448 -0.395 -0.361 -0.361
0.0669137 0.738 -0.471 -0.443 -0.392 -0.360 -0.360
0.0678561 0.744 -0.465 -0.439 -0.389 -0.357 -0.357
0.0687986 0.750 -0.458 -0.434 -0.385 -0.356 -0.356
0.069741 0.756 -0.452 -0.430 -0.383 -0.354 -0.354
0.0706834 0.762 -0.446 -0.426 -0.379 -0.352 -0.352
0.0716259 0.768 -0.440 -0.421 -0.376 -0.350 -0.350
0.0725683 0.774 -0.432 -0.417 -0.373 -0.348 -0.348
0.0735108 0.780 -0.426 -0.412 -0.370 -0.346 -0.346
0.0744532 0.786 -0.420 -0.408 -0.367 -0.344 -0.344
0.0753957 0.792 -0.414 -0.405 -0.364 -0.342 -0.342
0.0763381 0.797 -0.408 -0.400 -0.362 -0.340 -0.340
0.0772806 0.803 -0.402 -0.396 -0.359 -0.338 -0.338
0.078223 0.809 -0.396 -0.392 -0.356 -0.336 -0.336
0.0791655 0.815 -0.390 -0.388 -0.353 -0.333 -0.333
0.0801079 0.821 -0.384 -0.384 -0.351 -0.331 -0.331
0.0810504 0.827 -0.378 -0.380 -0.347 -0.329 -0.329
0.0819928 0.833 -0.371 -0.376 -0.345 -0.326 -0.326
0.0829352 0.838 -0.365 -0.372 -0.342 -0.325 -0.325
0.0838777 0.844 -0.359 -0.369 -0.339 -0.322 -0.322
0.0848201 0.850 -0.353 -0.364 -0.336 -0.320 -0.320
0.0857626 0.856 -0.347 -0.360 -0.334 -0.318 -0.318
0.086705 0.862 -0.341 -0.356 -0.331 -0.316 -0.316
0.0876475 0.868 -0.335 -0.352 -0.329 -0.313 -0.313
0.0885899 0.874 -0.329 -0.349 -0.325 -0.311 -0.311
0.0895324 0.879 -0.323 -0.344 -0.323 -0.308 -0.308
0.0904748 0.885 -0.317 -0.341 -0.320 -0.306 -0.306
0.0914173 0.891 -0.311 -0.337 -0.318 -0.303 -0.303
0.0923597 0.897 -0.305 -0.333 -0.315 -0.301 -0.301
0.0933022 0.903 -0.299 -0.329 -0.312 -0.298 -0.298
0.0942446 0.909 -0.293 -0.326 -0.310 -0.296 -0.296
0.095187 0.914 -0.287 -0.321 -0.307 -0.293 -0.293
0.0961295 0.920 -0.281 -0.318 -0.305 -0.291 -0.291
0.0970719 0.926 -0.275 -0.315 -0.302 -0.288 -0.288
0.0980144 0.932 -0.269 -0.310 -0.300 -0.286 -0.286
0.0989568 0.936 -0.263 -0.307 -0.297 -0.283 -0.283
0.0998993 0.942 -0.257 -0.304 -0.296 -0.281 -0.281
0.100842 0.949 -0.253 -0.299 -0.293 -0.279 -0.279
0.101784 0.955 -0.247 -0.296 -0.290 -0.277 -0.277
0.102727 0.961 -0.241 -0.293 -0.288 -0.274 -0.274
0.103669 0.965 -0.235 -0.288 -0.285 -0.272 -0.272
0.104612 0.971 -0.229 -0.285 -0.284 -0.270 -0.270
0.105554 0.977 -0.223 -0.282 -0.281 -0.268 -0.268
0.106496 0.982 -0.217 -0.279 -0.279 -0.265 -0.265
0.107439 0.988 -0.211 -0.274 -0.277 -0.263 -0.263
0.108381 0.994 -0.206 -0.271 -0.274 -0.261 -0.261
0.109324 0.998 -0.200 -0.268 -0.272 -0.258 -0.258
0.110266 1.005 -0.194 -0.264 -0.270 -0.257 -0.257
0.111209 1.009 -0.188 -0.261 -0.268 -0.254 -0.254
0.112151 1.015 -0.184 -0.258 -0.265 -0.252 -0.252
0.113094 1.020 -0.178 -0.254 -0.263 -0.250 -0.250
0.114036 1.026 -0.172 -0.251 -0.261 -0.248 -0.248
0.114978 1.030 -0.167 -0.248 -0.258 -0.246 -0.246
0.115921 1.035 -0.161 -0.245 -0.257 -0.244 -0.244
0.116863 1.041 -0.157 -0.241 -0.254 -0.242 -0.242
0.117806 1.045 -0.151 -0.238 -0.252 -0.240 -0.240
0.118748 1.050 -0.145 -0.235 -0.250 -0.238 -0.238
0.119691 1.056 -0.141 -0.231 -0.247 -0.236 -0.236
0.120633 1.061 -0.136 -0.228 -0.246 -0.234 -0.234
0.121576 1.065 -0.130 -0.225 -0.243 -0.232 -0.232
0.122518 1.070 -0.126 -0.221 -0.241 -0.230 -0.230
0.12346 1.074 -0.120 -0.219 -0.239 -0.229 -0.229
0.124403 1.080 -0.115 -0.216 -0.236 -0.226 -0.226
0.125345 1.085 -0.111 -0.213 -0.234 -0.224 -0.224
0.126288 1.089 -0.106 -0.209 -0.232 -0.223 -0.223
0.12723 1.094 -0.100 -0.207 -0.230 -0.221 -0.221
0.128173 1.098 -0.096 -0.204 -0.228 -0.219 -0.219
0.129115 1.103 -0.091 -0.201 -0.225 -0.217 -0.217
0.130058 1.108 -0.087 -0.198 -0.224 -0.215 -0.215
0.131 1.112 -0.082 -0.195 -0.221 -0.214 -0.214
0.131942 1.117 -0.078 -0.192 -0.219 -0.212 -0.212
0.132885 1.121 -0.072 -0.190 -0.217 -0.210 -0.210
0.133827 1.124 -0.067 -0.186 -0.214 -0.208 -0.208
0.13477 1.129 -0.063 -0.184 -0.213 -0.206 -0.206
0.135712 1.133 -0.058 -0.181 -0.210 -0.205 -0.205
0.136655 1.138 -0.054 -0.179 -0.208 -0.202 -0.202
0.137597 1.142 -0.051 -0.175 -0.206 -0.200 -0.200
0.13854 1.147 -0.046 -0.173 -0.204 -0.199 -0.199
0.139482 1.150 -0.042 -0.170 -0.202 -0.197 -0.197
0.140424 1.154 -0.037 -0.168 -0.199 -0.195 -0.195
0.141367 1.159 -0.033 -0.164 -0.197 -0.193 -0.193
0.142309 1.164 -0.028 -0.162 -0.195 -0.191 -0.191
0.143252 1.167 -0.024 -0.159 -0.193 -0.190 -0.190
0.144194 1.171 -0.019 -0.157 -0.191 -0.187 -0.187
0.145137 1.176 -0.016 -0.153 -0.189 -0.186 -0.186
0.146079 1.180 -0.012 -0.151 -0.186 -0.184 -0.184
0.147022 1.183 -0.007 -0.148 -0.185 -0.181 -0.181
0.147964 1.188 -0.003 -0.145 -0.182 -0.180 -0.180
0.148906 1.192 0.002 -0.142 -0.180 -0.178 -0.178
0.149849 1.197 0.006 -0.139 -0.178 -0.176 -0.176
0.150791 1.200 0.009 -0.137 -0.175 -0.174 -0.174
0.151734 1.204 0.014 -0.134 -0.174 -0.172 -0.172
0.152676 1.209 0.018 -0.130 -0.171 -0.170 -0.170
0.153619 1.212 0.023 -0.128 -0.169 -0.168 -0.168
0.154561 1.217 0.027 -0.125 -0.167 -0.166 -0.166
0.155504 1.221 0.030 -0.122 -0.164 -0.164 -0.164
0.156446 1.226 0.035 -0.119 -0.163 -0.162 -0.162
0.157388 1.229 0.039 -0.116 -0.160 -0.161 -0.161
0.158331 1.233 0.044 -0.113 -0.158 -0.158 -0.158
0.159273 1.238 0.048 -0.110 -0.156 -0.156 -0.156
0.160216 1.241 0.051 -0.107 -0.153 -0.154 -0.154
0.161158 1.245 0.055 -0.104 -0.152 -0.152 -0.152
0.162101 1.248 0.060 -0.101 -0.149 -0.151 -0.151
0.163043 1.253 0.064 -0.097 -0.147 -0.148 -0.148
0.163986 1.257 0.067 -0.094 -0.145 -0.147 -0.147
0.164928 1.261 0.072 -0.092 -0.142 -0.144 -0.144
0.16587 1.265 0.076 -0.089 -0.140 -0.142 -0.142
0.166813 1.270 0.081 -0.085 -0.138 -0.140 -0.140
0.167755 1.273 0.084 -0.082 -0.136 -0.138 -0.138
0.168698 1.277 0.088 -0.079 -0.133 -0.136 -0.136
0.16964 1.280 0.093 -0.076 -0.131 -0.134 -0.134
0.170583 1.285 0.096 -0.072 -0.129 -0.132 -0.132
0.171525 1.289 0.100 -0.069 -0.126 -0.130 -0.130
0.172468 1.292 0.105 -0.067 -0.124 -0.128 -0.128
0.17341 1.297 0.109 -0.063 -0.122 -0.126 -0.126
0.174353 1.300 0.112 -0.060 -0.120 -0.124 -0.124
0.175295 1.304 0.117 -0.057 -0.117 -0.122 -0.122
0.176237 1.307 0.121 -0.054 -0.115 -0.120 -0.120
0.17718 1.312 0.124 -0.050 -0.113 -0.117 -0.117
0.178122 1.315 0.129 -0.047 -0.110 -0.115 -0.115
0.179065 1.320 0.133 -0.045 -0.109 -0.113 -0.113
0.180007 1.323 0.138 -0.042 -0.106 -0.111 -0.111
0.18095 1.327 0.141 -0.038 -0.104 -0.109 -0.109
0.181892 1.330 0.145 -0.035 -0.102 -0.107 -0.107
0.182835 1.335 0.150 -0.033 -0.099 -0.105 -0.105
0.183777 1.338 0.154 -0.029 -0.098 -0.103 -0.103
0.184719 1.342 0.157 -0.026 -0.095 -0.100 -0.100
0.185662 1.345 0.162 -0.023 -0.093 -0.098 -0.098
0.186604 1.350 0.166 -0.021 -0.091 -0.096 -0.096
0.187547 1.353 0.171 -0.017 -0.088 -0.094 -0.094
0.188489 1.357 0.174 -0.015 -0.087 -0.092 -0.092
0.189432 1.360 0.178 -0.012 -0.084 -0.089 -0.089
0.190374 1.365 0.183 -0.009 -0.082 -0.088 -0.088
0.191317 1.368 0.187 -0.006 -0.080 -0.085 -0.085
0.192259 1.371 0.192 -0.003 -0.078 -0.083 -0.083
0.193201 1.376 0.195 -0.001 -0.076 -0.081 -0.081
0.194144 1.379 0.199 0.002 -0.074 -0.079 -0.079
0.195086 1.382 0.204 0.005 -0.071 -0.076 -0.076
0.196029 1.386 0.208 0.008 -0.070 -0.074 -0.074
0.196971 1.389 0.213 0.010 -0.067 -0.072 -0.072
0.197914 1.394 0.216 0.012 -0.065 -0.070 -0.070
0.198856 1.397 0.220 0.016 -0.064 -0.068 -0.068
0.199799 1.400 0.225 0.018 -0.061 -0.065 -0.065
0.200741 1.404 0.229 0.021 -0.060 -0.064 -0.064
0.201683 1.407 0.234 0.023 -0.057 -0.061 -0.061
0.202626 1.410 0.238 0.025 -0.055 -0.059 -0.059
0.203568 1.414 0.241 0.029 -0.054 -0.057 -0.057
0.204511 1.418 0.246 0.031 -0.051 -0.055 -0.055
0.205453 1.421 0.250 0.033 -0.049 -0.053 -0.053
0.206396 1.424 0.255 0.035 -0.047 -0.051 -0.051
0.207338 1.427 0.259 0.039 -0.045 -0.049 -0.049
0.208281 1.432 0.263 0.041 -0.043 -0.047 -0.047
0.209223 1.435 0.266 0.043 -0.041 -0.045 -0.045
0.210165 1.438 0.271 0.045 -0.039 -0.044 -0.044
0.211108 1.441 0.275 0.047 -0.038 -0.041 -0.041
0.21205 1.444 0.278 0.051 -0.035 -0.040 -0.040
0.212993 1.447 0.283 0.053 -0.033 -0.038 -0.038
0.213935 1.450 0.286 0.055 -0.032 -0.035 -0.035
0.214878 1.453 0.289 0.057 -0.029 -0.034 -0.034
0.21582 1.456 0.293 0.059 -0.027 -0.032 -0.032
0.216763 1.459 0.296 0.062 -0.026 -0.030 -0.030
0.217705 1.462 0.299 0.064 -0.023 -0.029 -0.029
0.218647 1.465 0.302 0.066 -0.021 -0.026 -0.026
0.21959 1.468 0.305 0.068 -0.020 -0.025 -0.025
0.220532 1.471 0.308 0.070 -0.018 -0.023 -0.023
0.221475 1.474 0.311 0.073 -0.016 -0.021 -0.021
0.222417 1.477 0.314 0.075 -0.014 -0.020 -0.020
0.22336 1.480 0.317 0.077 -0.012 -0.018 -0.018
0.224302 1.483 0.320 0.079 -0.010 -0.016 -0.016
0.225245 1.485 0.323 0.081 -0.008 -0.015 -0.015
0.226187 1.488 0.325 0.084 -0.006 -0.013 -0.013
0.227129 1.491 0.328 0.085 -0.005 -0.011 -0.011
0.228072 1.494 0.331 0.087 -0.002 -0.010 -0.010
0.229014 1.495 0.332 0.089 -0.000 -0.008 -0.008
0.229957 1.498 0.335 0.091 0.001 -0.006 -0.006
0.230899 1.501 0.337 0.093 0.004 -0.005 -0.005
0.231842 1.503 0.338 0.095 0.006 -0.003 -0.003
0.232784 1.506 0.341 0.097 0.007 -0.001 -0.001
0.233727 1.509 0.343 0.099 0.009 -0.001 -0.001
0.234669 1.510 0.344 0.101 0.012 0.001 0.001
0.235612 1.513 0.346 0.102 0.013 0.003 0.003
0.236554 1.515 0.347 0.104 0.015 0.004 0.004
0.237496 1.518 0.349 0.107 0.017 0.006 0.006
0.238439 1.520 0.350 0.108 0.019 0.007 0.007
0.239381 1.523 0.352 0.110 0.021 0.009 0.009
0.240324 1.524 0.353 0.112 0.023 0.010 0.010
0.241266 1.527 0.355 0.113 0.024 0.011 0.011
0.242209 1.529 0.356 0.115 0.026 0.013 0.013
0.243151 1.530 0.356 0.117 0.028 0.014 0.014
0.244094 1.532 0.358 0.119 0.030 0.015 0.015
0.245036 1.535 0.359 0.120 0.032 0.017 0.017
0.245978 1.536 0.359 0.122 0.034 0.019 0.019
0.246921 1.538 0.361 0.123 0.034 0.019 0.019
0.247863 1.539 0.362 0.124 0.036 0.021 0.021
0.248806 1.541 0.364 0.126 0.038 0.022 0.022
0.249748 1.542 0.364 0.127 0.039 0.023 0.023
0.250691 1.544 0.365 0.129 0.041 0.024 0.024
0.251633 1.545 0.365 0.131 0.042 0.026 0.026
0.252576 1.547 0.367 0.132 0.044 0.027 0.027
0.253518 1.548 0.368 0.133 0.045 0.028 0.028
0.25446 1.550 0.368 0.134 0.045 0.029 0.029
0.255403 1.551 0.370 0.136 0.047 0.030 0.030
0.256345 1.553 0.371 0.137 0.048 0.032 0.032
0.257288 1.554 0.371 0.138 0.049 0.033 0.033
0.25823 1.556 0.373 0.140 0.050 0.033 0.033
0.259173 1.556 0.373 0.141 0.051 0.035 0.035
0.260115 1.557 0.374 0.142 0.052 0.036 0.036
0.261058 1.559 0.374 0.143 0.053 0.037 0.037
0.262 1.559 0.376 0.144 0.054 0.038 0.038
0.262942 1.560 0.376 0.145 0.055 0.039 0.039
0.263885 1.560 0.377 0.146 0.056 0.040 0.040
0.264827 1.562 0.377 0.147 0.056 0.041 0.041
0.26577 1.562 0.379 0.148 0.056 0.042 0.042
0.266712 1.563 0.379 0.148 0.057 0.043 0.043
0.267655 1.563 0.379 0.149 0.058 0.044 0.044
0.268597 1.565 0.380 0.151 0.058 0.045 0.045
