# IsPeriodic    : True
# Period        : 0.487099 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
 0.000 -0.025 -1.123 -0.874 -0.707 -0.556 -0.556
 0.002 -0.025 -1.121 -0.874 -0.707 -0.556 -0.556
 0.004 -0.024 -1.119 -0.874 -0.706 -0.555 -0.555
 0.006 -0.022 -1.116 -0.872 -0.704 -0.554 -0.554
 0.008 -0.020 -1.113 -0.871 -0.702 -0.554 -0.554
 0.010 -0.017 -1.108 -0.869 -0.699 -0.552 -0.552
 0.012 -0.013 -1.101 -0.866 -0.695 -0.550 -0.550
 0.014 -0.010 -1.093 -0.864 -0.691 -0.548 -0.548
 0.016 -0.005 -1.085 -0.861 -0.687 -0.545 -0.545
 0.018 -0.001 -1.076 -0.858 -0.682 -0.544 -0.544
 0.020  0.004 -1.068 -0.855 -0.676 -0.541 -0.541
 0.022  0.009 -1.060 -0.852 -0.671 -0.538 -0.538
 0.024  0.016 -1.050 -0.848 -0.666 -0.535 -0.535
 0.026  0.021 -1.042 -0.845 -0.661 -0.533 -0.533
 0.028  0.026 -1.032 -0.841 -0.656 -0.529 -0.529
 0.030  0.033 -1.024 -0.837 -0.651 -0.526 -0.526
 0.032  0.040 -1.015 -0.832 -0.647 -0.523 -0.523
 0.034  0.047 -1.007 -0.828 -0.642 -0.521 -0.521
 0.036  0.054 -0.999 -0.823 -0.638 -0.518 -0.518
 0.038  0.063 -0.990 -0.818 -0.633 -0.514 -0.514
 0.040  0.069 -0.982 -0.814 -0.629 -0.512 -0.512
 0.042  0.078 -0.974 -0.808 -0.624 -0.508 -0.508
 0.044  0.087 -0.966 -0.803 -0.619 -0.504 -0.504
 0.046  0.095 -0.957 -0.797 -0.615 -0.502 -0.502
 0.048  0.104 -0.949 -0.791 -0.610 -0.498 -0.498
 0.050  0.114 -0.939 -0.785 -0.605 -0.494 -0.494
 0.052  0.125 -0.931 -0.778 -0.600 -0.490 -0.490
 0.054  0.135 -0.921 -0.772 -0.595 -0.486 -0.486
 0.056  0.145 -0.911 -0.764 -0.590 -0.482 -0.482
 0.058  0.155 -0.903 -0.758 -0.585 -0.478 -0.478
 0.060  0.168 -0.893 -0.750 -0.580 -0.473 -0.473
 0.062  0.178 -0.883 -0.743 -0.574 -0.469 -0.469
 0.064  0.190 -0.873 -0.735 -0.569 -0.464 -0.464
 0.066  0.202 -0.863 -0.728 -0.564 -0.460 -0.460
 0.068  0.216 -0.853 -0.720 -0.559 -0.455 -0.455
 0.070  0.228 -0.843 -0.711 -0.553 -0.451 -0.451
 0.072  0.242 -0.833 -0.703 -0.548 -0.445 -0.445
 0.074  0.254 -0.823 -0.695 -0.543 -0.441 -0.441
 0.076  0.267 -0.814 -0.687 -0.537 -0.436 -0.436
 0.078  0.279 -0.804 -0.678 -0.532 -0.431 -0.431
 0.080  0.293 -0.794 -0.670 -0.526 -0.426 -0.426
