# IsPeriodic    : True
# Period        : 0.334870 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.885 -0.244 -0.222 -0.165 -0.105 -0.105
0.00066974 0.885 -0.244 -0.222 -0.165 -0.105 -0.105
0.00133948 0.885 -0.244 -0.222 -0.165 -0.105 -0.105
0.00200922 0.885 -0.244 -0.222 -0.165 -0.105 -0.105
0.00267896 0.885 -0.244 -0.222 -0.165 -0.105 -0.105
0.0033487 0.885 -0.244 -0.222 -0.165 -0.105 -0.105
0.00401844 0.886 -0.243 -0.222 -0.165 -0.105 -0.105
0.00468818 0.886 -0.243 -0.222 -0.165 -0.105 -0.105
0.00535792 0.886 -0.243 -0.222 -0.165 -0.104 -0.104
0.00602766 0.887 -0.242 -0.222 -0.164 -0.104 -0.104
0.0066974 0.887 -0.242 -0.222 -0.164 -0.104 -0.104
0.00736714 0.888 -0.242 -0.222 -0.164 -0.104 -0.104
0.00803688 0.888 -0.241 -0.222 -0.164 -0.104 -0.104
0.00870662 0.889 -0.241 -0.222 -0.164 -0.103 -0.103
0.00937636 0.889 -0.240 -0.221 -0.163 -0.103 -0.103
0.0100461 0.890 -0.240 -0.221 -0.163 -0.103 -0.103
0.0107158 0.891 -0.239 -0.221 -0.163 -0.103 -0.103
0.0113856 0.891 -0.239 -0.221 -0.162 -0.102 -0.102
0.0120553 0.892 -0.239 -0.221 -0.162 -0.102 -0.102
0.0127251 0.893 -0.238 -0.221 -0.161 -0.102 -0.102
0.0133948 0.894 -0.237 -0.221 -0.161 -0.101 -0.101
0.0140645 0.894 -0.237 -0.220 -0.161 -0.101 -0.101
0.0147343 0.896 -0.236 -0.220 -0.160 -0.101 -0.101
0.015404 0.897 -0.235 -0.220 -0.160 -0.100 -0.100
0.0160738 0.898 -0.234 -0.220 -0.159 -0.100 -0.100
0.0167435 0.898 -0.234 -0.219 -0.159 -0.099 -0.099
0.0174132 0.900 -0.233 -0.219 -0.158 -0.099 -0.099
0.018083 0.901 -0.232 -0.219 -0.158 -0.098 -0.098
0.0187527 0.902 -0.231 -0.218 -0.157 -0.098 -0.098
0.0194225 0.903 -0.230 -0.218 -0.157 -0.097 -0.097
0.0200922 0.905 -0.229 -0.218 -0.156 -0.097 -0.097
0.0207619 0.906 -0.228 -0.217 -0.155 -0.096 -0.096
0.0214317 0.907 -0.227 -0.217 -0.155 -0.096 -0.096
0.0221014 0.909 -0.226 -0.216 -0.154 -0.095 -0.095
0.0227712 0.910 -0.225 -0.215 -0.153 -0.095 -0.095
0.0234409 0.912 -0.224 -0.215 -0.153 -0.094 -0.094
0.0241106 0.913 -0.223 -0.214 -0.152 -0.093 -0.093
0.0247804 0.915 -0.222 -0.213 -0.151 -0.093 -0.093
0.0254501 0.916 -0.220 -0.213 -0.150 -0.092 -0.092
0.0261199 0.918 -0.219 -0.212 -0.150 -0.092 -0.092
0.0267896 0.919 -0.218 -0.211 -0.149 -0.091 -0.091
0.0274593 0.921 -0.217 -0.210 -0.148 -0.090 -0.090
0.0281291 0.923 -0.216 -0.210 -0.147 -0.090 -0.090
0.0287988 0.925 -0.215 -0.209 -0.146 -0.089 -0.089
0.0294686 0.926 -0.213 -0.208 -0.146 -0.089 -0.089
0.0301383 0.928 -0.212 -0.207 -0.145 -0.088 -0.088
0.030808 0.930 -0.211 -0.206 -0.144 -0.087 -0.087
0.0314778 0.931 -0.209 -0.205 -0.143 -0.086 -0.086
0.0321475 0.933 -0.208 -0.204 -0.142 -0.086 -0.086
0.0328173 0.934 -0.207 -0.202 -0.141 -0.085 -0.085
0.033487 0.936 -0.205 -0.201 -0.141 -0.084 -0.084
0.0341567 0.938 -0.204 -0.200 -0.140 -0.084 -0.084
0.0348265 0.940 -0.202 -0.199 -0.139 -0.083 -0.083
0.0354962 0.941 -0.201 -0.198 -0.138 -0.083 -0.083
0.036166 0.943 -0.199 -0.197 -0.137 -0.082 -0.082
0.0368357 0.945 -0.198 -0.195 -0.137 -0.081 -0.081
0.0375054 0.947 -0.197 -0.194 -0.136 -0.080 -0.080
0.0381752 0.948 -0.195 -0.192 -0.135 -0.080 -0.080
0.0388449 0.950 -0.193 -0.191 -0.134 -0.079 -0.079
0.0395147 0.952 -0.192 -0.190 -0.133 -0.078 -0.078
0.0401844 0.953 -0.190 -0.188 -0.132 -0.078 -0.078
0.0408541 0.955 -0.188 -0.187 -0.131 -0.077 -0.077
0.0415239 0.957 -0.187 -0.186 -0.131 -0.076 -0.076
0.0421936 0.958 -0.185 -0.184 -0.130 -0.076 -0.076
0.0428634 0.960 -0.183 -0.182 -0.129 -0.075 -0.075
0.0435331 0.962 -0.181 -0.181 -0.128 -0.074 -0.074
0.0442028 0.964 -0.180 -0.180 -0.127 -0.073 -0.073
0.0448726 0.965 -0.178 -0.178 -0.126 -0.073 -0.073
0.0455423 0.967 -0.176 -0.177 -0.125 -0.072 -0.072
0.0462121 0.969 -0.175 -0.175 -0.125 -0.071 -0.071
0.0468818 0.971 -0.173 -0.174 -0.124 -0.070 -0.070
0.0475515 0.972 -0.171 -0.172 -0.123 -0.069 -0.069
0.0482213 0.974 -0.169 -0.171 -0.122 -0.069 -0.069
0.048891 0.976 -0.167 -0.169 -0.121 -0.068 -0.068
0.0495608 0.978 -0.165 -0.168 -0.120 -0.067 -0.067
0.0502305 0.980 -0.164 -0.166 -0.119 -0.066 -0.066
0.0509002 0.982 -0.162 -0.165 -0.118 -0.065 -0.065
0.05157 0.983 -0.160 -0.163 -0.117 -0.064 -0.064
0.0522397 0.985 -0.158 -0.162 -0.117 -0.063 -0.063
0.0529095 0.987 -0.156 -0.160 -0.116 -0.063 -0.063
0.0535792 0.989 -0.154 -0.158 -0.115 -0.061 -0.061
0.0542489 0.991 -0.152 -0.157 -0.113 -0.060 -0.060
0.0549187 0.993 -0.150 -0.155 -0.112 -0.059 -0.059
0.0555884 0.995 -0.148 -0.154 -0.111 -0.058 -0.058
0.0562582 0.997 -0.146 -0.152 -0.110 -0.057 -0.057
0.0569279 0.999 -0.144 -0.151 -0.109 -0.056 -0.056
0.0575976 1.001 -0.142 -0.149 -0.108 -0.055 -0.055
0.0582674 1.003 -0.140 -0.147 -0.107 -0.054 -0.054
0.0589371 1.005 -0.138 -0.145 -0.106 -0.053 -0.053
0.0596069 1.007 -0.136 -0.144 -0.105 -0.052 -0.052
0.0602766 1.009 -0.134 -0.142 -0.104 -0.050 -0.050
0.0609463 1.011 -0.132 -0.141 -0.103 -0.049 -0.049
0.0616161 1.013 -0.130 -0.139 -0.102 -0.048 -0.048
0.0622858 1.016 -0.128 -0.137 -0.100 -0.047 -0.047
0.0629556 1.017 -0.126 -0.135 -0.099 -0.046 -0.046
0.0636253 1.020 -0.124 -0.134 -0.098 -0.044 -0.044
0.064295 1.022 -0.122 -0.132 -0.097 -0.043 -0.043
0.0649648 1.024 -0.119 -0.131 -0.096 -0.042 -0.042
0.0656345 1.026 -0.117 -0.129 -0.094 -0.040 -0.040
0.0663043 1.029 -0.115 -0.127 -0.093 -0.039 -0.039
0.066974 1.031 -0.113 -0.125 -0.092 -0.038 -0.038
0.0676437 1.033 -0.111 -0.123 -0.090 -0.036 -0.036
0.0683135 1.036 -0.108 -0.122 -0.089 -0.035 -0.035
0.0689832 1.038 -0.106 -0.120 -0.088 -0.034 -0.034
0.069653 1.040 -0.104 -0.118 -0.086 -0.032 -0.032
0.0703227 1.043 -0.101 -0.116 -0.085 -0.031 -0.031
0.0709924 1.045 -0.099 -0.114 -0.083 -0.030 -0.030
0.0716622 1.047 -0.097 -0.113 -0.082 -0.028 -0.028
0.0723319 1.050 -0.094 -0.111 -0.081 -0.027 -0.027
0.0730017 1.052 -0.092 -0.109 -0.079 -0.026 -0.026
0.0736714 1.054 -0.090 -0.107 -0.078 -0.024 -0.024
0.0743411 1.057 -0.087 -0.105 -0.076 -0.023 -0.023
0.0750109 1.059 -0.085 -0.103 -0.075 -0.022 -0.022
0.0756806 1.062 -0.082 -0.101 -0.073 -0.021 -0.021
0.0763504 1.064 -0.080 -0.099 -0.072 -0.019 -0.019
0.0770201 1.067 -0.077 -0.098 -0.070 -0.018 -0.018
0.0776898 1.069 -0.074 -0.095 -0.069 -0.017 -0.017
0.0783596 1.072 -0.072 -0.093 -0.068 -0.016 -0.016
0.0790293 1.074 -0.070 -0.091 -0.066 -0.014 -0.014
0.0796991 1.077 -0.067 -0.090 -0.064 -0.013 -0.013
0.0803688 1.079 -0.064 -0.088 -0.063 -0.012 -0.012
0.0810385 1.081 -0.062 -0.086 -0.062 -0.011 -0.011
0.0817083 1.084 -0.059 -0.083 -0.060 -0.010 -0.010
0.082378 1.086 -0.056 -0.081 -0.059 -0.008 -0.008
0.0830478 1.089 -0.054 -0.079 -0.057 -0.007 -0.007
0.0837175 1.092 -0.051 -0.077 -0.056 -0.006 -0.006
0.0843872 1.094 -0.049 -0.075 -0.054 -0.005 -0.005
0.085057 1.096 -0.046 -0.073 -0.053 -0.004 -0.004
0.0857267 1.099 -0.043 -0.071 -0.052 -0.003 -0.003
0.0863965 1.101 -0.040 -0.069 -0.050 -0.002 -0.002
0.0870662 1.104 -0.038 -0.067 -0.049 -0.000 -0.000
0.0877359 1.107 -0.035 -0.065 -0.048 0.001 0.001
0.0884057 1.109 -0.032 -0.063 -0.046 0.002 0.002
0.0890754 1.112 -0.030 -0.061 -0.045 0.003 0.003
0.0897452 1.114 -0.027 -0.059 -0.043 0.004 0.004
0.0904149 1.117 -0.024 -0.057 -0.042 0.005 0.005
0.0910846 1.119 -0.022 -0.055 -0.041 0.006 0.006
0.0917544 1.122 -0.019 -0.053 -0.039 0.007 0.007
0.0924241 1.124 -0.016 -0.050 -0.038 0.008 0.008
0.0930939 1.127 -0.013 -0.048 -0.036 0.009 0.009
0.0937636 1.129 -0.011 -0.046 -0.035 0.010 0.010
0.0944333 1.132 -0.008 -0.044 -0.034 0.011 0.011
0.0951031 1.135 -0.005 -0.043 -0.032 0.013 0.013
0.0957728 1.137 -0.002 -0.040 -0.031 0.014 0.014
0.0964426 1.140 0.001 -0.038 -0.030 0.015 0.015
0.0971123 1.142 0.004 -0.036 -0.028 0.016 0.016
0.097782 1.145 0.006 -0.035 -0.027 0.017 0.017
0.0984518 1.148 0.009 -0.033 -0.025 0.018 0.018
0.0991215 1.150 0.012 -0.031 -0.024 0.019 0.019
0.0997913 1.152 0.015 -0.029 -0.023 0.020 0.020
0.100461 1.155 0.017 -0.027 -0.022 0.022 0.022
0.101131 1.157 0.020 -0.025 -0.020 0.023 0.023
0.1018 1.160 0.023 -0.023 -0.019 0.024 0.024
0.10247 1.162 0.026 -0.021 -0.017 0.025 0.025
0.10314 1.164 0.029 -0.020 -0.016 0.026 0.026
0.10381 1.167 0.031 -0.018 -0.015 0.027 0.027
0.104479 1.169 0.034 -0.016 -0.013 0.029 0.029
0.105149 1.171 0.037 -0.014 -0.012 0.030 0.030
0.105819 1.174 0.040 -0.012 -0.011 0.031 0.031
0.106489 1.176 0.043 -0.010 -0.010 0.032 0.032
0.107158 1.178 0.046 -0.009 -0.008 0.033 0.033
0.107828 1.180 0.049 -0.007 -0.007 0.035 0.035
0.108498 1.183 0.051 -0.005 -0.005 0.036 0.036
0.109168 1.185 0.054 -0.003 -0.004 0.037 0.037
0.109837 1.187 0.057 -0.002 -0.003 0.038 0.038
0.110507 1.189 0.059 0.000 -0.002 0.040 0.040
0.111177 1.191 0.062 0.002 -0.000 0.041 0.041
0.111847 1.193 0.065 0.004 0.001 0.042 0.042
0.112516 1.195 0.067 0.005 0.003 0.043 0.043
0.113186 1.197 0.070 0.007 0.004 0.045 0.045
0.113856 1.199 0.072 0.009 0.005 0.046 0.046
0.114526 1.201 0.075 0.010 0.006 0.047 0.047
0.115195 1.203 0.077 0.012 0.008 0.048 0.048
0.115865 1.205 0.080 0.014 0.009 0.050 0.050
0.116535 1.207 0.083 0.015 0.010 0.051 0.051
0.117204 1.209 0.085 0.017 0.012 0.052 0.052
0.117874 1.211 0.088 0.019 0.013 0.053 0.053
0.118544 1.212 0.090 0.020 0.014 0.055 0.055
0.119214 1.214 0.092 0.022 0.016 0.056 0.056
0.119883 1.216 0.094 0.023 0.017 0.057 0.057
0.120553 1.218 0.097 0.025 0.018 0.059 0.059
0.121223 1.219 0.099 0.027 0.019 0.060 0.060
0.121893 1.221 0.102 0.028 0.021 0.061 0.061
0.122562 1.223 0.104 0.030 0.022 0.062 0.062
0.123232 1.225 0.106 0.031 0.023 0.064 0.064
0.123902 1.227 0.108 0.033 0.025 0.065 0.065
0.124572 1.229 0.111 0.034 0.026 0.066 0.066
0.125241 1.231 0.113 0.036 0.027 0.067 0.067
0.125911 1.233 0.114 0.038 0.028 0.069 0.069
0.126581 1.234 0.117 0.039 0.029 0.070 0.070
0.127251 1.236 0.119 0.041 0.031 0.071 0.071
0.12792 1.238 0.121 0.042 0.032 0.072 0.072
0.12859 1.240 0.123 0.043 0.033 0.073 0.073
0.12926 1.242 0.125 0.045 0.034 0.075 0.075
0.12993 1.244 0.127 0.046 0.035 0.076 0.076
0.130599 1.246 0.129 0.048 0.036 0.077 0.077
0.131269 1.247 0.131 0.050 0.038 0.078 0.078
0.131939 1.249 0.134 0.051 0.039 0.079 0.079
0.132609 1.251 0.135 0.052 0.040 0.080 0.080
0.133278 1.253 0.137 0.054 0.041 0.081 0.081
0.133948 1.255 0.139 0.055 0.042 0.083 0.083
0.134618 1.257 0.141 0.056 0.043 0.083 0.083
0.135287 1.259 0.143 0.058 0.044 0.085 0.085
0.135957 1.261 0.145 0.059 0.045 0.086 0.086
0.136627 1.263 0.147 0.061 0.046 0.087 0.087
0.137297 1.265 0.150 0.062 0.047 0.088 0.088
0.137966 1.267 0.152 0.063 0.048 0.089 0.089
0.138636 1.269 0.154 0.065 0.048 0.090 0.090
0.139306 1.271 0.155 0.066 0.049 0.091 0.091
0.139976 1.273 0.157 0.067 0.050 0.092 0.092
0.140645 1.275 0.159 0.069 0.051 0.093 0.093
0.141315 1.277 0.161 0.070 0.052 0.093 0.093
0.141985 1.280 0.163 0.071 0.053 0.094 0.094
0.142655 1.282 0.165 0.072 0.054 0.095 0.095
0.143324 1.283 0.167 0.073 0.055 0.096 0.096
0.143994 1.286 0.169 0.075 0.055 0.097 0.097
0.144664 1.288 0.171 0.076 0.056 0.098 0.098
0.145334 1.289 0.173 0.077 0.057 0.098 0.098
0.146003 1.292 0.175 0.078 0.058 0.099 0.099
0.146673 1.294 0.176 0.079 0.058 0.100 0.100
0.147343 1.296 0.178 0.080 0.059 0.100 0.100
0.148013 1.297 0.180 0.081 0.060 0.101 0.101
0.148682 1.299 0.182 0.083 0.061 0.102 0.102
0.149352 1.301 0.184 0.084 0.061 0.103 0.103
0.150022 1.303 0.186 0.085 0.062 0.103 0.103
0.150692 1.304 0.188 0.086 0.063 0.104 0.104
0.151361 1.306 0.190 0.086 0.064 0.104 0.104
0.152031 1.308 0.191 0.087 0.064 0.105 0.105
0.152701 1.309 0.193 0.088 0.065 0.106 0.106
0.15337 1.310 0.195 0.089 0.066 0.106 0.106
0.15404 1.312 0.196 0.090 0.066 0.107 0.107
0.15471 1.313 0.198 0.091 0.067 0.107 0.107
0.15538 1.315 0.200 0.092 0.068 0.108 0.108
0.156049 1.316 0.201 0.093 0.068 0.108 0.108
0.156719 1.317 0.203 0.094 0.069 0.109 0.109
0.157389 1.318 0.204 0.095 0.070 0.110 0.110
0.158059 1.320 0.206 0.096 0.071 0.110 0.110
0.158728 1.321 0.208 0.096 0.071 0.110 0.110
0.159398 1.322 0.209 0.097 0.072 0.111 0.111
0.160068 1.323 0.210 0.098 0.073 0.111 0.111
0.160738 1.324 0.212 0.099 0.073 0.112 0.112
0.161407 1.325 0.213 0.099 0.074 0.112 0.112
0.162077 1.326 0.215 0.100 0.074 0.113 0.113
0.162747 1.327 0.216 0.101 0.075 0.113 0.113
0.163417 1.327 0.217 0.102 0.076 0.113 0.113
0.164086 1.328 0.218 0.103 0.076 0.114 0.114
0.164756 1.329 0.219 0.103 0.077 0.114 0.114
0.165426 1.330 0.221 0.104 0.078 0.115 0.115
0.166096 1.330 0.222 0.105 0.078 0.115 0.115
0.166765 1.331 0.223 0.105 0.079 0.116 0.116
0.167435 1.331 0.224 0.106 0.080 0.116 0.116
0.168105 1.331 0.225 0.107 0.080 0.116 0.116
0.168774 1.332 0.226 0.107 0.081 0.117 0.117
0.169444 1.332 0.227 0.108 0.081 0.117 0.117
0.170114 1.333 0.228 0.108 0.082 0.118 0.118
0.170784 1.333 0.229 0.109 0.082 0.118 0.118
0.171453 1.334 0.230 0.110 0.083 0.119 0.119
0.172123 1.334 0.231 0.110 0.084 0.119 0.119
0.172793 1.335 0.232 0.111 0.084 0.119 0.119
0.173463 1.335 0.232 0.111 0.085 0.120 0.120
0.174132 1.336 0.233 0.112 0.085 0.120 0.120
0.174802 1.336 0.234 0.113 0.085 0.120 0.120
0.175472 1.337 0.235 0.113 0.086 0.121 0.121
0.176142 1.337 0.235 0.114 0.086 0.121 0.121
0.176811 1.338 0.236 0.114 0.087 0.122 0.122
0.177481 1.338 0.236 0.115 0.087 0.122 0.122
0.178151 1.338 0.237 0.115 0.087 0.122 0.122
0.178821 1.339 0.237 0.116 0.088 0.123 0.123
0.17949 1.339 0.238 0.116 0.088 0.123 0.123
0.18016 1.340 0.238 0.117 0.089 0.123 0.123
0.18083 1.340 0.239 0.117 0.089 0.123 0.123
0.1815 1.341 0.239 0.117 0.089 0.124 0.124
0.182169 1.341 0.240 0.118 0.090 0.124 0.124
0.182839 1.342 0.240 0.118 0.090 0.124 0.124
0.183509 1.342 0.240 0.119 0.090 0.125 0.125
