# IsPeriodic    : True
# Period        : 0.557696 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.444 -0.766 -0.662 -0.570 -0.549 -0.549
0.00111539 0.444 -0.765 -0.662 -0.570 -0.548 -0.548
0.00223078 0.444 -0.764 -0.662 -0.569 -0.547 -0.547
0.00334618 0.445 -0.762 -0.661 -0.569 -0.546 -0.546
0.00446157 0.446 -0.759 -0.661 -0.568 -0.544 -0.544
0.00557696 0.448 -0.756 -0.660 -0.568 -0.542 -0.542
0.00669235 0.449 -0.751 -0.659 -0.567 -0.540 -0.540
0.00780774 0.451 -0.746 -0.657 -0.566 -0.537 -0.537
0.00892314 0.453 -0.740 -0.656 -0.566 -0.534 -0.534
0.0100385 0.456 -0.735 -0.654 -0.564 -0.532 -0.532
0.0111539 0.460 -0.729 -0.652 -0.564 -0.528 -0.528
0.0122693 0.462 -0.723 -0.650 -0.563 -0.525 -0.525
0.0133847 0.465 -0.717 -0.648 -0.561 -0.522 -0.522
0.0145001 0.469 -0.711 -0.646 -0.560 -0.519 -0.519
0.0156155 0.473 -0.704 -0.643 -0.559 -0.516 -0.516
0.0167309 0.476 -0.698 -0.641 -0.557 -0.513 -0.513
0.0178463 0.480 -0.693 -0.638 -0.555 -0.511 -0.511
0.0189617 0.484 -0.687 -0.636 -0.554 -0.508 -0.508
0.0200771 0.489 -0.682 -0.634 -0.552 -0.505 -0.505
0.0211924 0.493 -0.676 -0.630 -0.550 -0.503 -0.503
0.0223078 0.497 -0.670 -0.628 -0.548 -0.500 -0.500
0.0234232 0.503 -0.665 -0.625 -0.546 -0.497 -0.497
0.0245386 0.508 -0.659 -0.621 -0.544 -0.495 -0.495
0.025654 0.513 -0.653 -0.617 -0.541 -0.492 -0.492
0.0267694 0.519 -0.648 -0.614 -0.538 -0.489 -0.489
0.0278848 0.524 -0.641 -0.610 -0.536 -0.487 -0.487
0.0290002 0.531 -0.635 -0.607 -0.533 -0.485 -0.485
0.0301156 0.537 -0.628 -0.603 -0.530 -0.482 -0.482
0.031231 0.544 -0.622 -0.598 -0.527 -0.479 -0.479
0.0323464 0.550 -0.616 -0.594 -0.524 -0.477 -0.477
0.0334618 0.557 -0.609 -0.589 -0.521 -0.474 -0.474
0.0345772 0.564 -0.603 -0.585 -0.517 -0.472 -0.472
0.0356925 0.572 -0.596 -0.580 -0.514 -0.469 -0.469
0.0368079 0.578 -0.589 -0.575 -0.511 -0.467 -0.467
0.0379233 0.587 -0.582 -0.570 -0.508 -0.464 -0.464
0.0390387 0.594 -0.575 -0.565 -0.504 -0.462 -0.462
0.0401541 0.602 -0.569 -0.560 -0.500 -0.459 -0.459
0.0412695 0.610 -0.562 -0.554 -0.497 -0.457 -0.457
0.0423849 0.618 -0.555 -0.549 -0.493 -0.455 -0.455
0.0435003 0.626 -0.548 -0.544 -0.490 -0.453 -0.453
0.0446157 0.634 -0.542 -0.539 -0.486 -0.450 -0.450
0.0457311 0.643 -0.535 -0.534 -0.483 -0.448 -0.448
0.0468465 0.650 -0.528 -0.528 -0.479 -0.446 -0.446
0.0479619 0.658 -0.521 -0.523 -0.476 -0.444 -0.444
0.0490772 0.665 -0.515 -0.518 -0.472 -0.441 -0.441
0.0501926 0.673 -0.508 -0.513 -0.469 -0.439 -0.439
0.051308 0.680 -0.501 -0.509 -0.466 -0.437 -0.437
0.0524234 0.688 -0.495 -0.504 -0.463 -0.435 -0.435
0.0535388 0.694 -0.489 -0.500 -0.460 -0.433 -0.433
0.0546542 0.702 -0.482 -0.495 -0.457 -0.430 -0.430
0.0557696 0.708 -0.475 -0.491 -0.454 -0.428 -0.428
0.056885 0.715 -0.469 -0.486 -0.451 -0.426 -0.426
0.0580004 0.721 -0.463 -0.482 -0.448 -0.424 -0.424
0.0591158 0.728 -0.456 -0.477 -0.445 -0.422 -0.422
0.0602312 0.734 -0.450 -0.473 -0.443 -0.420 -0.420
0.0613466 0.741 -0.445 -0.469 -0.440 -0.418 -0.418
0.062462 0.747 -0.438 -0.465 -0.437 -0.416 -0.416
0.0635773 0.752 -0.432 -0.461 -0.434 -0.414 -0.414
