u g r i z y
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25 0.25 0.2572447411676494
0.25 0.25 0.25 0.25 0.25 0.2687203628395816
0.25 0.25 0.25 0.25 0.25 0.28019598451151384
0.25 0.25 0.25 0.25 0.25 0.29167160618344606
0.25 0.25 0.25 0.25 0.25 0.30314722785537834
0.25 0.25 0.25 0.25 0.25 0.3146228495273106
0.25 0.25 0.25 0.25 0.25 0.3260984711992428
0.25 0.25 0.25 0.25 0.25 0.33757409287117507
0.25 0.25 0.25 0.25 0.25 0.34904971454310735
0.25 0.25 0.25 0.25 0.25 0.3605253362150395
0.25 0.25 0.25 0.25 0.25 0.3720009578869718
0.25 0.25 0.25 0.25 0.25 0.383476579558904
0.25 0.25 0.25 0.25 0.25 0.3949522012308362
0.25 0.25 0.25 0.25 0.25 0.40642782290276847
0.25 0.25 0.25 0.25 0.25 0.41790344457470074
0.25 0.25 0.25 0.25 0.25 0.429379066246633
0.25 0.25 0.25 0.25 0.25 0.4408546879185652
0.25 0.25 0.25 0.25 0.25 0.45233030959049747
0.25 0.25 0.25 0.25 0.25 0.46380593126242975
0.25 0.25 0.25 0.25 0.25 0.4752815529343619
0.25 0.25 0.25 0.25 0.25 0.4867571746062942
0.25 0.25 0.25 0.25 0.25 0.4982327962782265
0.25 0.25 0.25 0.25 0.25 0.5097084179501586
0.25 0.25 0.25 0.25 0.25 0.5211840396220909
0.25 0.25 0.25 0.25 0.25 0.5326596612940232
0.25 0.25 0.25 0.25 0.25 0.5441352829659554
0.25 0.25 0.25 0.25 0.25 0.5556109046378876
0.25 0.25 0.25 0.25 0.25 0.5670865263098199
0.25 0.25 0.25 0.25 0.25 0.5785621479817522
0.25 0.25 0.25 0.25 0.25 0.5900377696536843
0.25 0.25 0.25 0.25 0.25 0.6015133913256165
0.25 0.25 0.25 0.25 0.25 0.6129890129975488
0.25 0.25 0.25 0.25 0.25 0.6244646346694811
0.25 0.25 0.25 0.25 0.25 0.6359402563414134
